genero,artista_nombre,artista_id,imagen_artista,cancion_nombre,cancion_id,duracion_ms,es_explicito,imagen_album
rock,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,https://i.scdn.co/image/ab6761610000e5eb527d95dabbe8b8b527e8136f,Numb,2nLtzopw4rPReszdYBJU6h,187520,False,https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b
rock,Maná,7okwEbXzyT2VffBmyQBWLz,https://i.scdn.co/image/ab6761610000e5eb152dcec8175d19fb12eeb8e0,En El Muelle de San Blas,0mvocLIWUnT10znvIXwHGr,352160,False,https://i.scdn.co/image/ab67616d0000b2732f770148868be769ff9f7a90
rock,Maná,7okwEbXzyT2VffBmyQBWLz,https://i.scdn.co/image/ab6761610000e5eb152dcec8175d19fb12eeb8e0,Oye Mi Amor,5EJ2THuhAapEIeQOtXUQ0x,263306,False,https://i.scdn.co/image/ab67616d0000b27363f3b7f5abf86ad483b57b77
rock,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,183956,False,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
rock,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f,505,0BxE4FqsDD1Ot4YuBXwAPp,253586,False,https://i.scdn.co/image/ab67616d0000b273b1f8da74f225fa1225cdface
rock,Maroon 5,04gDigrS5kc9YWfZHwBETP,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,Maps,4gbVRS8gloEluzf0GzDOFc,189960,False,https://i.scdn.co/image/ab67616d0000b273442b53773d50e1b5369bb16c
rock,Maroon 5,04gDigrS5kc9YWfZHwBETP,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,This Love,6ECp64rv50XVz93WvxXMGF,206200,False,https://i.scdn.co/image/ab67616d0000b27392f2d790c6a97b195f66d51e
rock,Tame Impala,5INjqkS1o8h1imAzPqGZBb,https://i.scdn.co/image/ab6761610000e5ebe412a782245eb20d9626c601,Dracula - JENNIE Remix,5yvVYFDUpbnjcnRBgjwTzM,209720,True,https://i.scdn.co/image/ab67616d0000b273c7c031ce9d06b131f8563676
rock,Tame Impala,5INjqkS1o8h1imAzPqGZBb,https://i.scdn.co/image/ab6761610000e5ebe412a782245eb20d9626c601,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,216320,True,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
rock,Juanes,0UWZUmn7sybxMCqrw9tGa7,https://i.scdn.co/image/ab6761610000e5eb1455a186c8aaeb027ccfadb4,Amárrame,3EK4tGkSiO5xvvB5sM4tln,207333,False,https://i.scdn.co/image/ab67616d0000b273ac6e52ed084e8209691f208f
